MutantNo,[FAIL | TIME | EXC | LIVE]
362,LIVE
363,LIVE
364,FAIL
365,FAIL
366,FAIL
367,FAIL
368,FAIL
369,FAIL
370,FAIL
372,FAIL
373,FAIL
374,FAIL
379,LIVE
380,LIVE
381,LIVE
382,FAIL
390,LIVE
391,LIVE
392,LIVE
393,LIVE
394,FAIL
395,FAIL
396,FAIL
397,FAIL
400,FAIL
409,LIVE
410,LIVE
411,LIVE
412,FAIL
413,FAIL
414,LIVE
415,LIVE
416,LIVE
417,LIVE
418,FAIL
419,FAIL
420,EXC
421,LIVE
422,EXC
423,FAIL
424,LIVE
427,LIVE
428,FAIL
429,FAIL
430,LIVE
431,LIVE
432,LIVE
433,FAIL
434,FAIL
435,EXC
436,FAIL
437,EXC
438,FAIL
439,FAIL
444,EXC
445,LIVE
446,LIVE
447,LIVE
448,FAIL
449,FAIL
450,FAIL
451,LIVE
452,EXC
454,LIVE
455,EXC
456,FAIL
461,LIVE
462,LIVE
463,LIVE
464,LIVE
465,EXC
466,FAIL
467,LIVE
468,FAIL
469,LIVE
470,LIVE
471,FAIL
472,FAIL
473,FAIL
474,EXC
475,FAIL
480,LIVE
481,FAIL
482,LIVE
483,FAIL
484,TIME
485,FAIL
486,EXC
487,FAIL
488,FAIL
489,FAIL
490,FAIL
491,FAIL
492,FAIL
493,FAIL
496,LIVE
506,FAIL
507,FAIL
508,LIVE
518,LIVE
519,LIVE
520,FAIL
523,LIVE
524,EXC
525,FAIL
526,FAIL
527,FAIL
534,LIVE
535,LIVE
536,FAIL
537,FAIL
543,LIVE
544,LIVE
563,LIVE
572,LIVE
573,LIVE
574,EXC
575,FAIL
588,LIVE
589,FAIL
590,LIVE
591,FAIL
592,FAIL
593,LIVE
602,LIVE
603,LIVE
609,LIVE
610,LIVE
613,LIVE
614,LIVE
615,LIVE
623,LIVE
642,LIVE
658,LIVE
671,LIVE
686,LIVE
704,LIVE
705,LIVE
752,LIVE
765,LIVE
780,LIVE
781,FAIL
793,FAIL
794,FAIL
795,EXC
796,LIVE
797,EXC
798,LIVE
799,EXC
800,LIVE
801,LIVE
802,LIVE
803,LIVE
804,LIVE
805,FAIL
806,FAIL
807,FAIL
808,LIVE
809,FAIL
810,FAIL
811,FAIL
812,EXC
813,FAIL
814,FAIL
815,FAIL
816,LIVE
817,EXC
818,FAIL
819,FAIL
820,EXC
821,EXC
822,LIVE
823,LIVE
824,LIVE
825,LIVE
826,LIVE
827,LIVE
828,LIVE
829,LIVE
830,LIVE
831,LIVE
833,FAIL
834,FAIL
835,FAIL
836,FAIL
837,EXC
838,LIVE
839,LIVE
840,LIVE
841,FAIL
842,EXC
843,FAIL
844,LIVE
845,LIVE
846,EXC
847,LIVE
848,FAIL
849,EXC
850,LIVE
851,FAIL
852,FAIL
853,FAIL
854,FAIL
855,LIVE
856,LIVE
857,LIVE
858,LIVE
859,LIVE
860,FAIL
861,LIVE
864,FAIL
865,FAIL
867,LIVE
868,LIVE
869,LIVE
870,FAIL
871,LIVE
872,LIVE
873,FAIL
874,FAIL
875,FAIL
876,LIVE
877,LIVE
878,LIVE
879,FAIL
880,LIVE
881,FAIL
882,FAIL
883,LIVE
884,LIVE
885,FAIL
886,LIVE
887,LIVE
888,LIVE
889,LIVE
890,LIVE
891,LIVE
892,LIVE
893,LIVE
894,FAIL
895,LIVE
896,LIVE
897,LIVE
898,FAIL
899,FAIL
900,FAIL
901,FAIL
902,LIVE
903,LIVE
904,LIVE
905,LIVE
906,LIVE
907,FAIL
909,LIVE
910,LIVE
911,EXC
912,LIVE
913,EXC
914,FAIL
915,LIVE
916,FAIL
917,FAIL
918,EXC
919,FAIL
920,LIVE
921,FAIL
922,FAIL
923,EXC
924,EXC
925,FAIL
926,EXC
927,LIVE
928,FAIL
929,EXC
930,FAIL
931,FAIL
932,LIVE
933,FAIL
934,LIVE
935,LIVE
936,LIVE
938,LIVE
939,LIVE
940,LIVE
941,LIVE
942,FAIL
943,LIVE
944,FAIL
945,LIVE
946,FAIL
947,FAIL
948,FAIL
949,FAIL
950,LIVE
951,FAIL
952,FAIL
953,FAIL
954,LIVE
955,EXC
956,FAIL
957,EXC
958,FAIL
959,EXC
960,EXC
961,FAIL
962,EXC
963,FAIL
964,EXC
966,LIVE
967,LIVE
968,LIVE
969,LIVE
970,LIVE
971,LIVE
972,LIVE
973,LIVE
974,LIVE
975,LIVE
976,LIVE
977,LIVE
